"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"112","2019","パ","ロ","3.91","4.04","3.68","69","70","29","1,110","143","1280 2/3","0.10","21,782","5,490","1,245","143","464","50","21","611","556","4","2","1",".251","43.36%","453","4.74","1.33","2,124","545",".257","54","125"
"113","2019","パ","日","3.76","4.04","3.47","65","73","36","1,046","143","1265 2/3","0.09","20,664","5,287","1,141","135","390","40","19","586","529","1","1","1",".236","26.57%","337","4.29","1.21","1,986","470",".237","49","138"
"114","2019","パ","オ","4.06","3.96","4.23","61","75","38","1,092","143","1283 2/3","0.09","21,861","5,490","1,233","137","458","43","28","637","579","5","2","1",".249","44.76%","342","3.60","1.32","2,276","560",".246","54","113"
"115","2020","パ","ソ","2.92","3.11","2.60","73","42","33","1,035","120","1066 1/3","8.74","17,995","4,446","843","83","448","56","9","389","346","3","1","0",".214","48.33%","380","4.74","1.21","1,786","375",".210","38","120"
"116","2020","パ","ロ","3.81","4.07","3.30","60","57","34","835","120","1055 2/3","7.12","17,455","4,459","989","110","370","28","12","479","447","4","2","2",".244","51.67%","353","4.24","1.29","1,658","419",".253","50","78"
"117","2020","パ","西","4.29","4.87","3.48","58","58","35","764","120","1049","6.55","18,257","4,585","1,010","106","471","53","6","543","500","1","1","0",".249","33.33%","291","4.00","1.41","1,580","385",".244","47","90"
"118","2020","パ","楽","4.19","4.29","4.04","55","57","28","867","120","1055 2/3","7.39","18,151","4,528","995","110","383","46","15","522","492","3","2","0",".244","42.50%","378","4.92","1.31","1,745","433",".248","48","103"
"119","2020","パ","日","4.02","4.08","3.93","53","62","25","930","120","1054 1/3","7.94","18,095","4,553","1,002","98","401","43","21","528","471","5","2","2",".245","45.83%","327","4.30","1.33","1,604","419",".261","40","83"
"120","2020","パ","オ","3.97","3.92","4.07","45","68","20","937","120","1054","8.00","18,196","4,509","958","107","444","39","14","502","465","3","1","1",".239","43.33%","294","3.70","1.33","1,737","433",".249","45","84"
"121","2021","パ","オ","3.31","3.33","3.26","70","55","38","1,055","143","1254","7.57","20,887","5,198","1,093","107","388","49","15","500","461","6","4","1",".230","51.75%","377","3.85","1.18","2,087","481",".230","48","107"
